GRDC_NO,RIVER,STATION,HAD26,HAD45,HAD85,MPI26,MPI45,MPI85
6854800,Kalajoki,Niskakoski,479,460,469,476,487,492
6854710,Kemijoki,Marraskoski,524,547,520,508,562,577
6855250,Kymijoki,Vaajakoski,587,563,580,579,623,654
6854900,Kyronjoki,Statila,546,544,540,549,572,555
6854591,Oulujoki,Oulujarvi,625,628,609,614,651,696
6855402,Vuoksi,Karvio,633,630,617,630,679,726
6730501,Tana,Polmak Nye,372,426,402,374,415,428
6855200,Kymijoki,Anjala,649,625,644,660,672,694
6854200,Lapuanjoki,Keppo,546,545,540,549,572,556
6854100,Kokemaenjoki,Kalsinkoski,637,621,635,655,675,675
6855100,Vantaa,Oulunkyla,648,618,631,669,696,689
6854600,Iijoki,Raasaka,636,638,619,625,695,737
