GRDC_NO,RIVER,STATION,noaa_n,noaa_noaa,hist_hist,rcp26_rcp2,rcp45_rcp4,rcp85_rcp8,rcp26corr,rcp45,rcp85cor
6854800,Kalajoki,Niskakoski,2,499.207499999999982,993.894499999999994,869.153000000000020,836.251999999999953,873.312000000000012,437,420,439
6854710,Kemijoki,Marraskoski,12,484.228999999999985,872.151916666667034,780.069666666666990,759.673083333333011,793.165333333333024,433,422,440
6855250,Kymijoki,Vaajakoski,10,583.158300000000054,985.791799999999967,845.713399999999979,834.188300000000027,857.049700000000030,500,493,507
6854900,Kyronjoki,Statila,5,576.018400000000042,999.115800000000036,860.028199999999970,864.377799999999979,868.805799999999977,496,498,501
6854591,Oulujoki,Oulujarvi,14,590.074714285713981,964.880142857143028,845.850285714285974,812.999571428571016,870.137785714285997,517,497,532
6855402,Vuoksi,Karvio,12,616.798499999999990,963.724416666667025,836.062750000000051,819.226416666666978,864.471999999999980,535,524,553
6730501,Tana,Polmak Nye,14,396.784642857143012,961.352642857142996,866.865071428571014,846.281500000000051,880.989500000000021,358,349,364
6855200,Kymijoki,Anjala,24,602.243916666667019,993.782583333333037,848.498708333333980,855.341291666666962,864.391791666667018,514,518,524
6854200,Lapuanjoki,Keppo,3,534.365666666667039,945.497333333333017,811.840666666666948,809.116333333333046,819.921666666666965,459,457,463
6854100,Kokemaenjoki,Kalsinkoski,19,596.415263157894969,1061.621421052630012,908.406736842105033,920.175105263158002,917.033368421052955,510,517,515
6855100,Vantaa,Oulunkyla,0,645.000000000000000,1127.000000000000000,959.000000000000000,999.000000000000000,969.000000000000000,549,572,555
6854600,Iijoki,Raasaka,14,583.698285714286044,949.939499999999953,853.940142857142973,796.178357142856953,854.033285714285967,525,489,525
